# VFS Statistics
# ================
# ---------------------------
# Total energy at VFS level (J) : 
# ---------------------------
#  - CPU : 0.00682297
#  - Mem : 0.00242658
# ---------------------------
# Mean energy per syscall (J) : 
# -------------------------
#  - CPU : 2.2444e-05
#  - Mem : 7.98217e-06
# ---------------------------
# Mean exec. time per syscall (s) : 
# -------------------------
# 5.54956e-05
# ---------------------------
# Total time at VFS level (s) : 
# -------------------------
# 0.0168707
# --------------------------------------
# Detailed timing / energy per syscall: 
# ---------------------------------------
# type ; time ; e_mem ; e_cpu
vfs_read;0.117188;0;0
vfs_read;7.5;0;0
vfs_read;0.117188;0;0
vfs_read;7.5;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
vfs_read;0.117188;0;0
