# JFFS2 Statistics
# ================
# A call to jffs2_readpage can be triggered by a vfs_read with a page cache miss, but also a 
# call to jffs2_write_begin (coming from a vfs_write) on a page wich is not up to date. 
# type ; process time ; e_mem ; e_cpu
jffs2_write_begin;12.7;2.03712e-312;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.05834e-312;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.3793e-312;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;8.48799e-314;6.95288e-310
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;6.72878e-319;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.07956e-312;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.10078e-312;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.122e-312;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.14322e-312;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.16444e-312;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;8.95049e-320;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.061e-313;6.95288e-310
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;1.4822e-323
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.3793e-312;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.18566e-312;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1823;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;2.20688e-312;9.88131e-324
jffs2_write_end;1411.5;6.95288e-310;6.95288e-310
jffs2_write_begin;12.7;1.30927e-311;9.88131e-324
jffs2_write_end;1000;6.95288e-310;6.95288e-310
